Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
2042,YAKINMAJU SENTOSA,R 1 E,Jl. Jababeka VIIG,1,Alat ukur,Elektronik,Indonesia,SFB
5344,TEKPAK INDONESIA,T 1 A,Jl. Jababeka IVC,1,Plastik lembaran,Plastik,Indonesia,SFB
2251,AMERON VENTURA PLASTIK,R 1 A,Jl. Jababeka VIIG,1,Masterbatch,Kimia,Indonesia,SFB
1272,KAIROS MULTI SEJAHTERA / KAIROS MULTI USAHA,C 17 A,Jl. Jababeka IIIH,1,"Baut dan mur (fastener), stainless, baja, besi biasa ",Material Bangunan,Indonesia,TOB
1152,ANUGRAH YONASEPRIMA,C 18 Q,Jl. Jababeka IIID,1,Injection & Blowing Plastic Industry,Plastik,Indonesia,TOB
864,ASTI PANJI DILATAMA,CC 11,Jl. Jababeka IIH,1,Jasa Machining,Otomotif,Indonesia,TOB
1272,SEHYUN TECH INDONESIA,C 19 K,Jl. Jababeka IIC,1,Mold base,Baja/Logam,South Korea,TOB
1152,SHEY CIPTA INDONESIA,C 19 L,Jl. Jababeka IIC,1,Packaging Minyak Rem & Air Radiator,Otomotif,Indonesia,TOB
1560,NEW STAR PRECISION INDUSTRIES,CC 1,Jl. Jababeka IIG,1,Mur dan baut,Jasa,Taiwan,SFB
1380,DARMA MULIA PRIMA,V 81 B,Jl. Jababeka IVD,1,,Others,Indonesia,SFB
1218,PRIMA EGA TEKNINDO,J 6 E,Jl. Jababeka VIA,1,Mesin untuk penyaringan,Mesin,Indonesia,SFB
2338.58,TOSIN PLASTIK INDONESIA,T 2 A,Jl. Jababeka IVC,1,Lembaran/Kantong Plastik PE Foam,Plastik,Malaysia,SFB
20900,DHARMA MULTIPLAST SOLUTIONS INDONESIA,W 17-20,Jl. Jababeka XVIIB,1,Plastic injection,Plastik,Malaysia,Kavling
1380,IKIMURA INDOTOOLS CENTER,U 35 C,Jl. Jababeka XVIIB,1,Perdagangan berbagai macam barang (industri otomotif),Trading,Indonesia,SFB
1619,GRITA ARTHA KREAMINDO,R 2 G,Jl. Jababeka VIIG,1,Laundry,Jasa,Indonesia,SFB
1619,SANNO PERKASA,R 2 J,Jl. Jababeka VIIG,1,Chemicals,Kimia,Indonesia,SFB
1846,PEGASUS MITRA ABADI,C 17 AA,Jl. Jababeka IIIH,1,Keramik,Material Bangunan,Indonesia,SFB
864,MASTRADA SURYA,CC 31,Jl. Jababeka IIJ,1,Gudang,Others,Indonesia,TOB
2028,PRIMA AGUNG SENTOSA,K 1 I,Jl. Jababeka VIID,1,"Tanki, tandon air dan wadah dari logam",Metal Fabrication,Malaysia,SFB
1619,TUNAS CEMERLANG SARANA,R 1 C,Jl. Jababeka VIIG,1,"Percetakan, pemotongan dan pembentukan kertas karton",Metal Fabrication,Indonesia,SFB
1908,EKA SEJAHTERA MULIA,U 35 A,Jl. Jababeka XVIIB,1,"Konstruksi/fabrikasi dari logam, service alat listrik, generator (Cable Support System)",Metal Fabrication,Indonesia,SFB
1619,TONGCHENG MAGNET WIRE,R 1 K,Jl. Jababeka VIIG,1,Industri kabel listrik dan elektronik lainnya dan pembuatan logam dasar bukan besi,Elektronik,Taiwan,SFB
2042,DELTA FIN INDONESIA,R 1 L,Jl. Jababeka VIIG,1,Radiator trafo dan painting,Elektronik,Singapore,SFB
1740,MASTER LABEL,V 81 D,Jl. Jababeka IVD,1,Label,Packaging,Indonesia,SFB
1581,CAHAYA MULTI LASER,C 16 A,Jl. Jababeka IIE,1,"Painting, laser, EDP coating",Otomotif,Indonesia,SFB
1740,VARIA JAYA MAKMUR INDONESIA,U 35 D,Jl. Jababeka XVIIB,1,Industri barang logam lainnya (accessories tas dan garment),Tekstil,Taiwan,SFB
1152,KYOEI DENKI TRADING INDONESIA,C 18 V,Jl. Jababeka IIID,1,Komponen otomotif,Otomotif,Japan,TOB
4100,FEELUX INDONESIA,F 34,Jl. Jababeka Raya,1,"Manufacturing dan trading transformer, coil, wire harnes dan lighting",Elektronik,South Korea,Kavling
