Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
1104,LSMTRON MACHINERY INDONESIA,D 3 A,Jl. Samsung 2,UKM,LS injection molding machine,Mesin,South Korea,TOB
11897,SEKISUI KASEI INDONESIA,B 1 F,Jl. Science Timur 2,5,Styrofoam,Plastik,Japan,Kavling
5000,MILLENNIUM INFRAMACH DISTRIBUSI INDONESIA,A 5 B,Jl. Science Timur 1,5,Workshop,Gudang,Indonesia,Kavling
1055,GLOBAL MEGA INDONESIA,C 17 ET,Jl. Jababeka IIIH,1,"Mesin ultrasonic plastic joining, mesin industrial cleaning, special purpose machine, dry ice, dry ice blasting, media blasting, jasa cleaning industri",Mesin,Indonesia,TOB
2890,NASIONAL AGUNG JAYA,B 3 B,Jl. Jababeka Raya,1,Mesin packaging,Mesin,Indonesia,SFB
655,PERTALU BENUSA JAYA,V 82 D,Jl. Jababeka IVD,1,Otomotif part & manufacturing,Otomotif,Indonesia,SIB
2300,ART MOLD INDONESIA,LL 4-5 B,Jl. Industri Selatan 2,2,Mold,Plastik,South Korea,SFB
675,JAVATEC TRIMITRA UTAMA,CC 18 A,Jl. Jababeka IIH,1,General trading,Trading,Indonesia,TOB
5000,TIRA AUSTENITE TBK,F 3,Jl. Jababeka V,1,Kimia,Kimia,Indonesia,Kavling
576,MAJU MAKMUR UTAMA,EE 6 J,Jl. Industri Selatan 8,2,"Polybox, impra box, pallet",Metal Fabrication,Indonesia,TOB
690,PADANG KENCANA,KK 3 H,Jl. Industri Selatan 1B,2,Gas dan dry ice,Kimia,Indonesia,SFB
905,HAMASA METAL INDONESIA,P 10 I,Jl. Jababeka IXB,1,Box Panel,Jasa,Indonesia,TOB
360,BINTANG SEMESTA MOTOR,V 82 H,Jl. Jababeka IVD,1,Perusahaan dagang,Trading,Indonesia,SIB
540,MUSANG GLOBAL SOLUSINDO,V 82 F,Jl. Jababeka IVD,1,Industri Kimia Dasar,Kimia,Indonesia,SIB
1403,IMTEC MOLD INDONESIA,EE 3 F,Jl. Industri Selatan 5,2,Molding injection plastic,Baja/Logam,China,SFB
1885,CAHAYA SUKSES MANDIRI,A5 J 1,Jl. Science Timur 1,5,Wire cut service,Jasa,Indonesia,SFB
864,TRIMA ANUGERAH SEJAHTERA,EE 6 H,Jl. Industri Selatan 8,2,"Jasa Konstruksi, Mesin Maker, Mekanikal Elektrikal",Mesin,Indonesia,TOB
1032,ORIENTAL PLASTIC,EE 6 A,Jl. Industri Selatan 8,2,Barang-barang dan peralatan teknik/industri dari plastik,Plastik,South Korea,TOB
576,BP ANDREAS TIMOTI / TRAGONA�TUNGGAL�MANDIRI,EE 6 O,Jl. Industri Selatan 8,2,,Others,Indonesia,TOB
10363,YONG SHIN INDONESIA,U 18 A,Jl. Jababeka XVIIB,1,Dies maker dan part electronic-otomotif (metal stamping),Metal Fabrication,South Korea,SFB
360,CITRA LANGGENG SENTOSA,V 82 P,Jl. Jababeka IVD,1,Flexible manufacturing line,Jasa,Indonesia,SIB
1403,GANZU GISMA SEIKO,EE 5 B,Jl. Industri Selatan 5,2,Komponen alat berat dan otomotif,Otomotif,Indonesia,SFB
882,BAHANA HANNELA MASSIMA,C1 B 8,Jl. East Park Boulevard,6,"Persediaan untuk mencuci, Pembersih, Pewangi, Pestisida Rumah Tangga, Antiseptika dan Disinfektan",Kimia,Indonesia,TOB
1612,ONAJI TRI INDO,C1 C 2,Jl. East Park Boulevard,6,Cable rack / cable lader (cable support system),Baja/Logam,Indonesia,SFB
336,AUTOTECH PERKASA MANDIRI,C 3 J,Jl. Samsung 2C,UKM,"Jig, fixture, automation, spm dan precision parts",Metal Fabrication,Indonesia,COB
2204,ART COOL,LL 4-5 C,Jl. Industri Selatan 2,2,"Residential Air Conditioners / Commercial Air Conditioners, Air Handling Units, Large Sized Chillers, Cold Storage / Unit Cooler",Jasa,South Korea,SFB
1140,ORCA THERMAL UTAMA,W 36 C4,Jl. Jababeka XVI,1,Radiator,Mesin,Indonesia,SFB
360,DUTA PERSADA TEKNIK,V 82 J,Jl. Jababeka IVD,1,Moulding,Mesin,Indonesia,SIB
336,REKAYASA CIPTA USAHA,C 3 K,Jl. Samsung 2C,UKM,,Others,Indonesia,COB
460,PUSAKA KALI AGUNG,KK 3 C,Jl. Industri Selatan 1B,2,Air Minum Dalam Kemasan,Makanan,Indonesia,SIB
2731,TANJUNG KURNIA,CC 3 B,Jl. Niaga Raya,2,Perhotelan (Fave hotel),Komersil,Indonesia,SFB
1150,CKD MANUFACTURING INDONESIA,A2 6,Jl. Science Boulevard,5,Manufacturing,Jasa,Japan,TOB
576,CV ARFITECH MANUFACTURING�INDONESIA,EE 6 N,Jl. Industri Selatan 8,2,,Others,Indonesia,TOB
1032,CIKARANG HADI MITRA,EE 6 I,Jl. Industri Selatan 8,2,,Others,Indonesia,TOB
1403,YUSAMASU TECH INDONESIA,EE 3 J,Jl. Industri Selatan 5,2,"Cutting tools, jig fixture dan precision part",Mesin,Indonesia,SFB
460,JAVATEC TRIMITRA MACHINERY,KK 3 G,Jl. Industri Selatan 1B,2,Gudang,Others,Indonesia,SIB
864,TUNAS TUMBUH BERSAMA,EE 6 E,Jl. Industri Selatan 8,2,Wire Cut,Elektronik,Indonesia,TOB
561,GENERAL TEKNIK MAHAKARYA,C 17 GT,Jl. Jababeka IIIH,1,Machinery,Mesin,Indonesia,TOB
504,LUCINDO LASER VISION,QQ 10 E,Jl. Industri Selatan 1,2,Gudang,Others,Indonesia,TOB
864,SENA PRIORITAS UTAMA,EE 6 M,Jl. Industri Selatan 8,2,MESP air purifier and ESP kitchen exhaust purifiers (filter ac),Elektronik,Indonesia,TOB
1740,CITRA MAJU SENTOSA,U 34 C,Jl. Jababeka XVIIB,1,Vulkanisir ban,Otomotif,Indonesia,SFB
1140,ORCA THERMAL UTAMA / GLOBAL SUKSES MANUFACTURING,W 36-37 C3,Jl. Jababeka XVI,1,Radiator,Jasa,Indonesia,SFB
4140,PURATOS INDONESIA,U 34 A,Jl. Jababeka XVIIB,1,Bahan kue dan roti,Makanan,Belgia,SFB
810,SINJIWIRA JAYA ABADI,C1 B 1,Jl. East Park Boulevard,6,"Converting dan label printing (tape adhesive, label printing, roll masker, dll)",Packaging,Indonesia,TOB
2093,SURYA INTERNUSA HOTELS,CC 3 A,Jl. Niaga Raya,2,Perhotelan (Batiqa),Komersil,Indonesia,Kavling
144,KALIBRATOR UJI UTAMA,E 1-3A,Jl. Jababeka Raya,1,Jasa Kalibrasi dan Metrologi,Jasa,Indonesia,Kavling
576,INDOMETAL PRIMA CEMERLANG,P 9 G,Jl. Jababeka IXB,1,Jasa Elektro Plating,Jasa,Indonesia,TOB
576,SENTRAL BAHANA EKATAMA,EE 6 K,Jl. Industri Selatan 8,2,Helm,Jasa,Indonesia,TOB
864,FORTUNA HIKARU SEJAHTERA,EE 7 F,Jl. Industri Selatan 8,2,Industri cat,Kimia,Indonesia,TOB
2099,MITRA PART PERKASA,EE 5 G,Jl. Industri Selatan 7,2,Perdagangan Alat2 Rumah Tangga,Plastik,Indonesia,SFB
576,SHINHWA TECHNO PLANT,EE 6 P,Jl. Industri Selatan 8,2,Jasa pelaksana konstruksi (Instalasi listrik),Jasa,South Korea,TOB
15080,ASIA INDOPACK INDUSTRIES,E 1-5,Jl. Jababeka Raya,1,Packaging,Plastik,Singapore,Kavling
2087,KEO SAN INDONESIA,EE 5 C,Jl. Industri Selatan 5,2,Membuat mesin-mesin khusus dan lainnya,Mesin,South Korea,SFB
1665,RICH INDONESIA,U 19 H,Jl. Jababeka XVIIB,1,Selang gas elpiji,Consumer Goods,Indonesia,SFB
1740,MITRA MAKMUR GEMILANG,U 19 K,Jl. Jababeka XVIIB,1,"Plastic Materials: Products, Semi-Finished Products (Manufacture, Trade)",Plastik,Indonesia,SFB
1740,SULTAN METAL FORMING INDONESIA,U 34 E,Jl. Jababeka XVIIB,1,Manufacturing,Jasa,Indonesia,SFB
576,ALFA MITRA LESTARI,EE 6 B,Jl. Industri Selatan 8,2,"Jig, Fictures, dll",Jasa,Indonesia,TOB
576,BINERKAT TANGGUH ABADI,EE 7 E,Jl. Industri Selatan 8,2,,Others,Indonesia,TOB
5000,SAEAM DAYA INDONESIA,B 7,Jl. East Park Boulevard,6,Mold Maker,Plastik,South Korea,Kavling
1769,FAJAR BASTHI,EE 8 A,Jl. Industri Selatan 8,2,"Wooden pallet, paper pallet, cirga air bag",Packaging,Indonesia,SFB
2208,BERSAMA BANGUN PERSADA,QQ 8 C,Jl. Industri Selatan 1,2,"Engineered anchor bolts, comprehensive fire protection and high quality anchor channel fastening technology, providing waterproofing and crack injection solution for constructions",Material Bangunan,Indonesia,SFB
576,CHANG RUBBER INDONESIA,EE 7 B,Jl. Industri Selatan 8,2,"Rubber sheet (perdagangan besar mesin kantor, penjualan rubber)",Trading,Malaysia,TOB
864,RAJATECH ADI NUSANTARA,EE 7 G,Jl. Industri Selatan 8,2,Tooling dan mesin industri,Mesin,Indonesia,TOB
1908,TEKNOLOGI WARNA MATAHARI�MERAH INDONESIA,U 19 J,Jl. Jababeka XVIIB,1,"Cat dinding interior, cat dinding eksterior, cat epoxy lantai, cat anti korosi/cat besi, cat kapal laut",Kimia,China,SFB
3274,CAHAYA JAKARTA PACKAGING,QQ 10,Jl. Industri Selatan 1,2,Packaging,Packaging,Indonesia,SFB
702,LIPWIH SYNERGYLAB ESTETIKA,EE 10 E,Jl. Industri Selatan 10,2,Industri kosmetik dan produk obat tradisional,Kimia,Indonesia,SIB
655,ART WIRE,EE 11 H,Jl. Industri Selatan 10,2,Industri barang dan peralatan teknik/industri dari plastik,Plastik,South Korea,TOB
3760,DUTA HITA JAYA,EE 7 HI,Jl. Industri Selatan 8,2,"Galvanize, Tower ( PLN, TELKO ), PJU, Guadrail, Gardu lnduk, Bracket, Monopole, Tiang FO, Tiang Telpon, VMS, Steel Pole, Jasao Kontruksi Lain",Metal Fabrication,Indonesia,SFB
2135,VAN LAACK INDONESIA,EE 8 E,Jl. Industri Selatan 8,2,Industi pakaian jadi dr tekstil,Tekstil,Germany,SFB
1403,PD MITRA USAHA BERSAMA,EE 8 C,Jl. Industri Selatan 8,2,Gudang,Others,Indonesia,TOB
468,LINESIA ADOFA LESTARI,EE 10 F,Jl. Industri Selatan 10,2,Service/Rental Forklif,Jasa,Indonesia,SIB
360,ISOTEMA,EE 11 B,Jl. Industri Selatan 10,2,Mesin perkakas & sheet metal,Metal Fabrication,Indonesia,SIB
702,ARYA GLOBAL DINAMIKA,EE 10 D,Jl. Industri Selatan 10,2,Jasa machining dan fabrikasi,Trading,Indonesia,TOB
1740,REMORA ERA MANDIRI,U 19 N,Jl. Jababeka XVIIB,1,,Others,Indonesia,SFB
733,DSI LASER INTERNASIONAL INDONESIA,EE 11 A,Jl. Industri Selatan 10,2,Pemeliharaan Teknologi Laser,Jasa,Indonesia,SIB
1403,SURYA INTI ALAM,EE 8 B,Jl. Industri Selatan 8,2,"Manufaktur panel making, sheet metal work",Metal Fabrication,Indonesia,TOB
1440,ALFA PILAR INDONESIA,GG 9 EF,Jl. Industri Selatan 6,2,Jasa aerated drilling,Jasa,Indonesia,TOB
1440,NURMAN MITRA SENTOSA,GG 9 EF,Jl. Industri Selatan 6,2,"Peralatan pemboran (wellhead, liner adapter, aksesoris)",Listrik,Indonesia,TOB
540,TAKUMI GEMILANG SEISAKUSHO,EE 11 E,Jl. Industri Selatan 10,2,Produksi Mold,Plastik,Indonesia,TOB
5854,ARJUNA CEMERLANG MOTORS,CDE,Kawasan Industri Jababeka I,1,Showroom mobil hyundai,Komersil,Indonesia,Kavling
576,SHINKANSEN MITRA INDONESIA,EE 6 C,Jl. Industri Selatan 8,2,Plastik,Plastik,Indonesia,TOB
360,KORIND JAYA ABADI,EE 11 C,Jl. Industri Selatan 10,2,Perdagangan oil pelumas,Trading,South Korea,SIB
702,YAZAKI TECHNOLOGY INDONESIA,EE 10 J,Jl. Industri Selatan 10,2,Dies and moulding,Metal Fabrication,Indonesia,SIB
6516,PRIMA SARANA MAKMUR,EE 9 A-D,Jl. Industri Selatan 9,2,Tanki stainless steel,Metal Fabrication,Indonesia,Kavling
1798,TOA PLATING INDONESIA,A 2 15,Jl. Science Boulevard,5,Perusahaan pengolahan elektroplating pengolahan,Elektronik,Japan,SFB
1147,DUNGGIO DRILLING,GG 9 A,Jl. Industri Selatan 6,2,Eksplorasi pengeboran,Jasa,Indonesia,TOB
1769,MANDIRI PANCA PRIMA,EE 8 D,Jl. Industri Selatan 8,2,"Komponen automotif (double tape 3M, clip)",Otomotif,Indonesia,SFB
1288,RUKUN SEJAHTERA TEKNIK,W 36-37 B5,Jl. Jababeka XVI,1,"Trading-mesin-mesin dan suku cadang, alat teknik/mekanikal/elektrikal/telekomunikasi",Mesin,Indonesia,SFB
864,FOODINDO DWIVESTAMAS,EE 7 A,Jl. Industri Selatan 8,2,Gudang,Makanan,Indonesia,TOB
360,MI JO INDAH,EE 11 F,Jl. Industri Selatan 10,2,Aksesori kendaraan bermotor roda empat atau lebih,Otomotif,South Korea,SIB
11533,SUMBER MAS AUTORINDO,A 5 K,Jl. Science Timur 1,5,"Alarm mobil, back camera, corner sensor, harness, usb charger, wireless charger, parking sensor, head unit, alarm motor, gps, dashcam, dll",Otomotif,Indonesia,Kavling
10000,ALPHA INTEGRATED,B 3 L,Jl. Science Timur 1,5,Komponen elektronik,Elektronik,Malaysia - China,Kavling
468,YOKATTA INDONESIA,EE 10 I,Jl. Industri Selatan 10,2,Rubber komponen,Plastik,Indonesia,SIB
1740,CAHAYA MITRA SUKSESTAMA,U 31 C,Jl. Jababeka XVIID,1,Jasa Mould,Jasa,Indonesia,SFB
1104,PAS ARGUS INDONESIA,B 6,Jl. Samsung 1,UKM,Automation dan electrical,Elektronik,Thailand,TOB
1145,MAKITECH SISTEM INDONESIA,B 3 F10,Jl. Science Timur 1,5,Automation,Mesin,Indonesia,SFB
3049,YEON TECHNOLOGY,CC 8-9,Jl. Jababeka IIH,1,Mold,Plastik,South Korea,SFB
540,SINERGI METAL TEKNIK,EE 11 M,Jl. Industri Selatan 9,2,Industri dan jasa barang logam,Metal Fabrication,Indonesia,TOB
540,SAKA ARTHA KENCANA,EE 12 F,Jl. Industri Selatan 9,2,Industri logam  (pisau),Baja/Logam,Indonesia,TOB
4295,PYO JOON MOLD INDONESIA,RR 10 A,Jl. Industri Selatan,2,Molding,Plastik,South Korea,Kavling
2541,EBARA ELECTRIC WIRE INDONESIA,EE 8 F,Jl. Industri Selatan 8,2,Industri kabel listrik,Elektronik,Japan,SFB
2284,DWI LESTARI NUSANTARA,LL 5 E,Jl. Industri Selatan 2,2,Jasa,Jasa,Indonesia,SFB
1987,EUN SUNG INDONESIA,A3 8,Jl. Tekno Boulevard,3,Flexible flat cable,Elektronik,South Korea,SFB
360,ALAM BUMI MANUNGGAL,EE 12 C,Jl. Industri Selatan 9,2,Gudang,Others,Indonesia,SIB
1130,PRO MECHANIC INDONESIA,GG 9 HI,Jl. Industri Selatan 6,2,Mesin dan tooling,Mesin,Indonesia,TOB
2992,MULTIPRO PAINT INDONESIA,PP 9 A,Jl. Industri Selatan 7,2,Cat pernis,Material Bangunan,Indonesia,SFB
20000,ANUMANA GRAHA CANTIKA,BB 2-3,Jl. Niaga Raya,2,Perdagangan / Retail,Komersil,Indonesia,Kavling
1005,MARKINDO REKATEKNIK,EE 11 N-O,Jl. Industri Selatan 9,2,Perdagangan mesin video jet,Trading,Indonesia,SIB
733,TANLA TESCOR WELINDO,EE 11 I,Jl. Industri Selatan 9,2,"Jasa konsultan Bisnis, Management SDM",Jasa,Indonesia,TOB
4528,TAEKYUNG TECHNOLOGY,U 18 BC,Jl. Jababeka XVIIB,1,"Industri semi konduktor dan komponen elektronik lainnya, industri barang dan peralatan teknik/industri dari plastik",Plastik,South Korea,Kavling
540,UNITECH PERKASA ENGINEERING,GG 7 D,Jl. Industri Selatan 6A,2,Building Material ( General),Material Bangunan,Indonesia,TOB
3862,UNIRAMA DUTA NIAGA,LL 5 F,Jl. Industri Selatan 2,2,"Trading (produk paseo, ABC, nutrifood)",Consumer Goods,Indonesia,SFB
2070,ALTAR IKA MEGA,U 31 A,Jl. Jababeka XVIID,1,bisnis properti dan Perdagangan mekanikal elektrikal dan bahan pendukung kontruksi bangunan,Jasa,Indonesia,SFB
758,PUTRA TOOLSINDO,EE 12 A,Jl. Industri Selatan 9,2,Jasa Wirecut,Jasa,Indonesia,TOB
3689,PLUSPACK ETOWA INDONESIA,B 1 G,Jl. Tekno 1,3,Thermoforming product,Packaging,Malaysia,SFB
1350,DINAMIKA MAKMUR SENTOSA,GG 7 EF,Jl. Industri Selatan 6A,2,Jasa pengurusan transportasi / logistik trasnportasi,Jasa,Indonesia,TOB
20732,PRASTAMA BESINDO SENTRAL,AA 3,Jl. Niaga Raya,2,Properti (Ruko CBD),Jasa,Indonesia,Kavling
5082,GRAND ZURI CIKARANG,AA 2,Jl. Niaga Raya,2,Perhotelan (Grand zuri),Komersil,Indonesia,Kavling
1060,CIKARANG GERBANG SOLUSI,DP 1 D,Jl. Dry Port Raya,3,Jasa transportasi,Jasa,Indonesia,SFB
1060,GERBANG TEKNOLOGI CIKARANG,DP 1 D,Jl. Dry Port Raya,3,Real Estate,Komersil,Indonesia,SFB
2169.5,INDONESIA G-SHANK PRECISION,RR 5 C,Jl. Industri Utama 1,2,Metal stamping,Metal Fabrication,Taiwan,Kavling
2203,FUJI SMBE INDONESIA,B 1 D,Jl. Tekno Raya,3,Panels/switchgear low voltage,Elektronik,Singapore - Japan,SFB
2203,TUNAS MITRA SUKSES,B 1 E,Jl. Tekno Raya,3,"Lakban, bubble wrap",Packaging,Indonesia,SFB
660,SHOW LASER,B 3 E,Jl. Tekno 1,3,Jasa painting laser,Jasa,South Korea,TOB
10000,GUHRING INDONESIA,B 1 D,Jl. Science Timur 2,5,Cutting tools/mata bor,Mesin,Germany,Kavling
3245,AVERY DENNISON INDONESIA,B 5,Kawasan Industri Jababeka VII,7,"Manufacture and distributes display graphics, labeling and packaging materials, retail graphic embellishments and RFID tags",Mesin,USA,Kavling
1288,ADHIPLAST SEJAHTERA,W 36-37 A2,Jl. Jababeka XVI,1,Casing dari bahan plastik,Plastik,Indonesia,SFB
576,STIF INDONESIA,B 2 B,Jl. Tekno 1,3,,Others,France,TOB
1650,NEW ASIA DYNAMIC INDONESIA,B 3 B,Jl. Tekno 1,3,Isolasi tapes,Plastik,Indonesia,SFB
840,YI SU ELECTRONICS,B 9 A,Jl. Samsung 1,UKM,Instalasi elektronik,Elektronik,South Korea,TOB
552,MITRA JAYA LESTARI,B 9 B,Jl. Samsung 1,UKM,Jasa konstruksi,Jasa,South Korea,TOB
552,JNB GLOBAL,B 9 C,Jl. Samsung 1,UKM,Dome spacer,Jasa,South Korea,TOB
3931,INTAN PRIMA KALORINDO,B 1 F,Jl. Tekno Raya,3,Shell & tube heat exchanger dan compact heat exchanger,Jasa,Indonesia,SFB
10032,ANUGRAH ARGON MEDICA,PP 7 A,Jl. Industri Selatan 7,2,Farmasi dan alat kesehatan,Farmasi,Indonesia,Kavling
540,PENTA PRIMA GEMILANG,C1 B 5,Jl. East Park Boulevard,6,Gudang,Others,Indonesia,TOB
864,INDUSTRIAL PLANT SERVICES INDONESIA,B 2 H,Jl. Tekno 1,3,Manufaktur Mesin Automasi,Mesin,Singapore,TOB
360,SENTOSA ULTRA GASINDO,EE 12 B,Jl. Industri Selatan 9,2,Distributor gas dan medis,Migas,Indonesia,SIB
9460,BINA MANDIRI TRANSINDO,LL 4-5 D,Jl. Industri Selatan 2,2,Gudang,Others,South Korea,Kavling
552,JIN SUNG TECH,B 9 D,Jl. Samsung 1,UKM,"Soldering irons, tools for electronics, test and measuring instruments untuk ke butuhan industri",Elektronik,South Korea,TOB
1440,KORINA ABADI TEHNIK,B 9 E,Jl. Samsung 1,UKM,Casing remote,Elektronik,South Korea,COB
1641,PONTY WIJAYA,W 36-37 A1,Jl. Jababeka XVI,1,Gudang,Others,Indonesia,SFB
2610,WEBUS PACKING INDONESIA,D 1 A,Jl. Tekno Raya,3,"Industri penempatan, pengepresan, pencetakan dan pembentukan logam, Metalurgi bubul",Metal Fabrication,China,SFB
10000,RAPIGRA,PP 5,Jl. Industri Selatan 6,2,Kemasan plastik,Plastik,Indonesia,Kavling
1392,SAM HYUN INDONESIA,B 5,Jl. Samsung 1,UKM,,Others,South Korea,TOB
1380,SING SWEE BEE INDONESIA,FF 1 E,Jl. Industri Selatan 7,2,Distributor untuk Gas cylinders dan valve,Trading,Singapore,TOB
1740,PRIMA NANO COATING,FF 1 C,Jl. Industri Selatan 7,2,Jasa coating bahan besi atau sejenis besi,Jasa,Indonesia,SFB
1288,RADIANT JAYA BERSAMA,W 36-37 A5,Jl. Jababeka XVI,1,Gudang,Others,Indonesia,SFB
1908,ARMINDO JAYA MANDIRI,FF 1 F,Jl. Industri Selatan 7,2,Fabrikasi & Engineering,Metal Fabrication,Indonesia,SFB
576,ALTEK MITRA PRESISI,B 2 G,Jl. Tekno 1,3,"Mould, Dies, Machining Parts, JIG, Fabrication",Metal Fabrication,Indonesia,TOB
288,SPRING SAN,U 22 J2,Jl. Jababeka XVII-I,1,,Others,Indonesia,SIB
2070,TJE FUK MANUFACTURING,U 31 B,Jl. Jababeka XVIID,1,Kosmetik,Kosmetik,Indonesia,SFB
1740,HANS MANUFAKTURING INDONESIA,FF 1 B,Jl. Industri Selatan 7,2,"Industri Mesin, Manufactur dan Fabrikasi",Mesin,Indonesia,SFB
1380,TOMIDA GLOSSINDO INDAH,FF 1 D,Jl. Industri Selatan 7,2,,Others,Indonesia,TOB
660,SET INDONESIA,B 3 C,Jl. Tekno 1,3,Jasa etching texture,Jasa,Japan,TOB
1656,UTAMA CIPTA MAKMUR INDONESIA,C 3 B,Jl. Tekno 1,3,Jasa,Jasa,Indonesia,SFB
360,ACS ENGINEERING,EE 12 D,Jl. Industri Selatan 9,2,Manufaktur heavy equipment,Jasa,Indonesia,SIB
576,PERUSAHAAN PENGELOLA ASET,C 2 I,Jl. Tekno 1,3,Keuangan,Jasa,Indonesia,TOB
1656,FUJI JUNYA KITAGAWA,C 3 C,Jl. Tekno 1,3,Dies and mould,Mesin,Japan,SFB
864,G & B INDONESIA,B 2 I,Jl. Tekno 1,3,Pickup guitar,Elektronik,South Korea,TOB
1232,TECHNO PREFAB INDONESIA,C 3 F,Jl. Tekno 1,3,Engineering &prefab building solution,Jasa,Indonesia,TOB
576,TRI MULYA GEMILANG,B 2 E,Jl. Tekno 1,3,"Aluminium Anode, Zinc Anode, Anode Clamp",Baja/Logam,Indonesia,TOB
576,TRANS BAINITIC TEKNIKATAMA,B 2 J,Jl. Tekno 1,3,Manufacturing,Metal Fabrication,Indonesia,TOB
49228,BEKASI POWER,BP,Jl. Tekno 8,3,Jasa penyambungan listrik,Jasa,Indonesia,Kavling
2300,DHARMESTA SWASTI MANDIRI,KK 5 F,Jl. Industri Selatan 1B,2,Karpet kendaraan roda empat,Otomotif,Indonesia,SFB
817,SUIL MOLD INDONESIA,B 10C,Jl. Samsung 1,UKM,Jasa Machining gunrill,Jasa,South Korea,TOB
516,DONGIL ETCHING INDONESIA,B 10D,Jl. Samsung 1,UKM,Industri mesin dan perkakas mesin untuk pengerjaan logam,Mesin,South Korea,TOB
,DIAN PANDU PRATAMA,I 19-27,Jl. Jababeka XII,1,Penyedia tenaga kerja (Labour Supply) serta penyedia jasa fabrikasi dan perbaikan kendaraan alat berat (Job Supply),Jasa,Indonesia,Kavling
30000,BUMJIN ELECTRONICS INDONESIA,A 5 B,Jl. Tekno Raya,3,"Speaker tv, mirror spion, injection plastik",Elektronik,South Korea,Kavling
2610,ADHI CHANDRA JAYA,B 1 J,Jl. Tekno 1,3,Child part komponen automotive,Otomotif,Indonesia,SFB
1008,TORO JAYA PERSADA,C 2 L,Jl. Tekno 1,3,"PIN, Spacer, washer, discbarke, sproket",Otomotif,Indonesia,TOB
1232,ARGA ARTA UTAMA,C 3 G,Jl. Tekno 1,3,Kompor gas 2 (dua) tungku,Migas,Indonesia,TOB
1769,HEUNG KWANG,B 10A,Jl. Samsung 1,UKM,Mold,Plastik,South Korea,SFB
2310,BATARA SURYA SEMESTA,C 3 A,Jl. Tekno 1,3,Bahan bangunan,Material Bangunan,Indonesia,SFB
5460,MULTI USAGE INDONESIA,W 38 A,Jl. Jababeka XVI,1,Plastik chrome,Plastik,Malaysia,Kavling
18087,DECA METRIC MEDICA,PP 8,Jl. Industri Selatan 5,2,Alat kesehatan,Farmasi,Indonesia,Kavling
2070,BERDUA SEJAHTERA TEKNIK,B 1 H,Jl. Tekno 1,3,Bahan bangunan,Material Bangunan,Indonesia,SFB
1183,BINA KEMAS PERSADA,C 2 A,Jl. Tekno 1,3,"CUTTING TOOLS, STANDART PART",Mesin,Indonesia,TOB
576,BAKTI KARYA,C 2 K,Jl. Tekno 1,3,Plating,Metal Fabrication,Indonesia,TOB
2523,NOERHAYAT BERKAH SEJAHTERA,D 3 E,Jl. Tekno 5,3,Stamping,Baja/Logam,Indonesia,SFB
576,BHINNEKA BAJANAS,C 2 J,Jl. Tekno 1,3,"Perdagangan besar mesin, peralatan dan perlengkapan lainnya",Mesin,Indonesia,TOB
2001,HITOTSU MULTI PLATINDO,D 3 B,Jl. Tekno 5,3,Jasa Pelapisan Logam (Logam yang dilapisi zinc),Jasa,Indonesia,SFB
2523,CANTIK MULIA INDONESIA,D 3 D,Jl. Tekno 5,3,Industri non woven (masker),Tekstil,Indonesia,SFB
2001,GAZO PRIMA SENTOSA,D 3 F,Jl. Tekno 5,3,Industri Percetakan dan Pelapisan Komponen Electronic and Otomotive dari plastik,Elektronik,Indonesia,SFB
576,FANINDO CHIPTRONIC,C 2 B,Jl. Tekno 1,3,Chemical,Kimia,Indonesia,TOB
576,INNOVASI DIAGNOSTIKA,C 2 C,Jl. Tekno 1,3,Alat kesehatan,Trading,Indonesia,TOB
2523,CRAZE INDONESIA,D 3 G,Jl. Tekno 5,3,Fishing lure,Plastik,Japan,SFB
2362,MADA WIKRI TUNGGAL,E 1 C,Jl. Tekno 5,3,Komponen part otomotif roda 2 dan roda 3,Otomotif,Indonesia,Kavling
2070,TECHNOMEIJI RUBBER INDONESIA,B 1 I,Jl. Tekno 1,3,industri barang karet untuk industri/ selang bensin motor,Otomotif,Malaysia,SFB
576,PANDU KARISMA MANDIRI,C 2 H,Jl. Tekno 1,3,Bengkel bubut,Jasa,Indonesia,TOB
1725,SHINMEI INDUSTRY INDONESIA,E 1 B,Jl. Tekno 5,3,,Others,Indonesia,SFB
1653,KUNCI LOGISTIK,B 1 L,Jl. Tekno 1,3,Logistics,Gudang,Indonesia,SFB
1192,ILSUNG INDUSTRY,B 11,Jl. Samsung 1,UKM,Mold base,Plastik,South Korea,TOB
415,GEMILANG SEJAHTERA TRILESTARI,B 2 F,Jl. Samsung 1A,UKM,Conveyor,Jasa,Indonesia,COB
13092,ITM SEMICONDUCTOR INDONESIA,D 2,Jl. Tekno Raya,3,Device rokok elektrik,Elektronik,South Korea,Kavling
2001,BINTANGMAS MINOMANUNGGAL,D 3 C,Jl. Tekno 5,3,Supplier Baja,Material Bangunan,Indonesia,SFB
545,LANGGENG JAYA WICAKSANA,B 2 G,Jl. Samsung 1A,UKM,"Koagulan, flokulan, pengatur PH air, disinfektan",Kimia,Indonesia,TOB
1972,PHOENIX INDUSTRI,A 8 A,Jl. Tekno Raya,3,Impeller & Blower Pabrik (Fan),Mesin,Indonesia,SFB
